Total_Income,Total_Food_Expenditure,Restaurant_and_hotels_Expenditure,Alcoholic_Beverages_and_Tobacco_Expenditure,Clothing_Footwear_and_Other_Wear_Expenditure,House_Rent__Water_and_Electricity_Expenditure,Medical_Care_Expenditure,Transportation_Expenditure,Communication_Expenditure,Education_Expenditure,Miscellaneous_Goods_and_Services_Expenditure,Total_Expenses,Savings
524702.0,256555.0,3000.0,0.0,4607.0,93636.0,3457.0,4776.0,2880.0,36200.0,34056.0,439167.0,85535.0
198235.0,136478.0,2360.0,3092.0,8230.0,68370.0,3520.0,12900.0,5700.0,29300.0,9150.0,279100.0,-80865.0
82785.0,143690.0,4545.0,4795.0,2735.0,21540.0,70.0,324.0,420.0,425.0,6450.0,184994.0,-102209.0
123169.0,171181.0,6280.0,480.0,1390.0,23238.0,60.0,6840.0,660.0,300.0,3762.0,214191.0,-91022.0
265009.0,201967.0,6400.0,1040.0,4620.0,47922.0,140.0,6996.0,2100.0,0.0,8472.0,279657.0,-14648.0
152883.0,163138.0,0.0,420.0,1930.0,29382.0,95.0,4044.0,1500.0,0.0,5394.0,205903.0,-53020.0
270911.0,225411.0,6200.0,1920.0,7930.0,36126.0,340.0,12696.0,1848.0,0.0,6126.0,298597.0,-27686.0
186801.0,205389.0,1130.0,480.0,4085.0,60576.0,75.0,4140.0,3000.0,50.0,5562.0,284487.0,-97686.0
171152.0,131064.0,10550.0,0.0,2780.0,12570.0,200.0,7200.0,1800.0,8000.0,6510.0,180674.0,-9522.0
938727.0,325369.0,15620.0,0.0,7740.0,92730.0,1786.0,5160.0,7200.0,13180.0,15210.0,483995.0,454732.0
241145.0,174762.0,2590.0,2178.0,5610.0,40668.0,49.0,3678.0,1080.0,750.0,7134.0,238499.0,2646.0
342890.0,242417.0,3320.0,3900.0,8230.0,22998.0,123.0,2940.0,5520.0,250.0,9858.0,299556.0,43334.0
150856.0,196910.0,3850.0,1040.0,6140.0,17130.0,89.0,480.0,1500.0,960.0,5148.0,233247.0,-82391.0
187089.0,139391.0,300.0,0.0,2149.0,53154.0,78.0,14628.0,1200.0,0.0,5130.0,216030.0,-28941.0
